typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20250801,2025,8,202508,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,55327.698,TRUE,0,FALSE,83924186,83043635,83924186,6,FALSE,TRUE
C,M,20250801,2025,8,202508,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,114688,FALSE,5,u,114688,FALSE,,FALSE,0,FALSE,157203,155285,157203,0,FALSE,TRUE
C,M,20250801,2025,8,202508,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,72405.564,TRUE,0,FALSE,98853886,97146423,98853886,6,FALSE,TRUE
C,M,20250801,2025,8,202508,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,76554.368,TRUE,0,FALSE,120182509,119737547,120182509,6,FALSE,TRUE
C,M,20250801,2025,8,202508,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,417317.252,TRUE,0,FALSE,649755137,647532223,649755137,6,FALSE,TRUE
C,M,20250901,2025,9,202509,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,89453.158,TRUE,0,FALSE,136531843,135617129,136531843,6,FALSE,TRUE
C,M,20250901,2025,9,202509,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,279327,FALSE,5,u,279327,FALSE,,FALSE,0,FALSE,104820,102515,104820,0,FALSE,TRUE
C,M,20250901,2025,9,202509,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,72069.549,TRUE,0,FALSE,94281943,93126058,94281943,6,FALSE,TRUE
C,M,20250901,2025,9,202509,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,92585.252,TRUE,0,FALSE,148998147,148245147,148998147,6,FALSE,TRUE
C,M,20250901,2025,9,202509,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,618854.996,TRUE,0,FALSE,960105519,957579343,960105519,6,FALSE,TRUE
C,M,20251001,2025,10,202510,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,62585.119,TRUE,0,FALSE,93576968,92813782,93576968,6,FALSE,TRUE
C,M,20251001,2025,10,202510,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,524.378,TRUE,0,FALSE,545220,541846,545220,6,FALSE,TRUE
C,M,20251001,2025,10,202510,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,73312.875,TRUE,0,FALSE,96917596,95284638,96917596,6,FALSE,TRUE
C,M,20251001,2025,10,202510,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,107521.234,TRUE,0,FALSE,173527107,172695638,173527107,6,FALSE,TRUE
C,M,20251001,2025,10,202510,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,571908.583,TRUE,0,FALSE,889554599,886135895,889554599,6,FALSE,TRUE
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,62921.172,TRUE,0,FALSE,110921867,109357284,110921867,6,FALSE,TRUE
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,32408,FALSE,5,u,32408,FALSE,81.846,TRUE,0,FALSE,161559,158533,161559,4,FALSE,TRUE
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,46396.293,TRUE,0,FALSE,67194681,66485442,67194681,6,FALSE,TRUE
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,94547.636,TRUE,0,FALSE,173955929,173361845,173955929,6,FALSE,TRUE
C,M,20240101,2024,1,202401,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,371014.202,TRUE,0,FALSE,677589792,674396320,677589792,6,FALSE,TRUE
C,M,20240201,2024,2,202402,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,53889.573,TRUE,0,FALSE,96791095,94826300,96791095,6,FALSE,TRUE
C,M,20240201,2024,2,202402,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,184.519,TRUE,0,FALSE,318357,314616,318357,6,FALSE,TRUE
C,M,20240201,2024,2,202402,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,52323.075,TRUE,0,FALSE,78788140,77974048,78788140,6,FALSE,TRUE
C,M,20240201,2024,2,202402,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,84847.594,TRUE,0,FALSE,156428543,155561824,156428543,6,FALSE,TRUE
C,M,20240201,2024,2,202402,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,268339.988,TRUE,0,FALSE,487558244,484777040,487558244,6,FALSE,TRUE
C,M,20240301,2024,3,202403,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,72051.872,TRUE,0,FALSE,127081639,124903271,127081639,6,FALSE,TRUE
C,M,20240301,2024,3,202403,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,127418,FALSE,5,u,127418,FALSE,78.2,TRUE,0,FALSE,144306,141996,144306,4,FALSE,TRUE
C,M,20240301,2024,3,202403,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,58426.15,TRUE,0,FALSE,89064546,88127859,89064546,6,FALSE,TRUE
C,M,20240301,2024,3,202403,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,118224.166,TRUE,0,FALSE,220874696,219723081,220874696,6,FALSE,TRUE
C,M,20240301,2024,3,202403,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,511935.383,TRUE,0,FALSE,932589262,928269965,932589262,6,FALSE,TRUE
C,M,20240401,2024,4,202404,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,60964.17,TRUE,0,FALSE,105772755,104142358,105772755,6,FALSE,TRUE
C,M,20240401,2024,4,202404,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,1166.984,TRUE,0,FALSE,2109752,2105673,2109752,6,FALSE,TRUE
